input,retrieval_context,expected_output
Cancel it normally,"A normal cancel is recorded, but you WON'T see an instant refund — expect wording like 'cancellation requested / being handled' (refunds are done by hand). When cancelling isn't allowed there's no cancel button; cancelling too late fails cleanly and lets you try again. A normal cancel is testable; the not-allowed and after-deadline states may not be reproducible in cold testing — don't fail those if you can't trigger them.",
"Examples — use one (vary across testers); use a real flight that operates on the date you choose, 3–20 days from today:
1) Arrival — a valid flight arriving into Singapore Changi (SIN); destination Marina Bay Sands; 2 pax · 2 bags
2) Departure — a valid flight departing from London Heathrow (LHR); pick-up from a Mayfair hotel; 1 pax · 1 bag
3) Arrival — a valid flight arriving into Guarulhos (GRU), São Paulo; destination central São Paulo; 3 pax · 3 bags
(You enter the flight number, flight departure date, the address end, passengers and bags; the widget fills in the airport and a default pickup date and time, which you can adjust within the allowed ranges.)","After you enter the flight number and flight departure date, the widget validates them and fills in the airport plus a default pickup (service) date and time. Check the airport is right and the default pickup is sensible — for an arrival or overnight/long-haul flight the pickup can sensibly differ from the flight departure date; you can adjust the pickup within the allowed ranges. Vehicle options return and you can carry on to the payment screen; wording reflects a search result, not a booking. Use a real flight that operates on the date you pick (3–20 days out) and note the flight number, departure date, the airport the widget fills in, and the default pickup date/time.",
"Examples — phrase in your own words; use a real flight that operates on the date you choose (3–20 days out):
1) 'I arrive into Singapore Changi on [flight no.] departing [date] — take me to Marina Bay Sands, 2 of us, 2 bags.'
2) 'Pick me up from a Mayfair hotel for [flight no.] departing London Heathrow on [date], just me, 1 bag.'
3) 'I land at Guarulhos (São Paulo) on [flight no.] departing [date] — drop me in central São Paulo, 3 of us, 3 bags.'","The assistant identifies the airport from the flight and proposes the pickup (service) date and time (which can differ from the flight departure date for arrivals/overnight) — equivalent to the form route. (Missing-detail and odd-input handling is covered in the separate AI tests.) As with the form, use a real flight on a date it operates and note the identified airport and proposed pickup.",
Leave it empty; a made-up flight number; letters/symbols that aren't allowed; something too long.,"An invalid flight number is blocked, ignored, or shown a clear message; you can't continue with an invalid flight number.",
"Flight departure date: none selected; today; just under 48 hours away; just over 30 days away; then a valid date 3–20 days out. Then adjust the proposed pickup date and time, both within and outside the allowed ranges.",Invalid departure dates are rejected with a clear message that it must be more than 48 hours away and within 30 days; Search stays greyed out until valid. For a valid date the widget fills in a default pickup (service) date and time — verify it is sensible (for an arrival/overnight flight it can fall on a different day from the flight departure date). You can adjust the pickup within the allowed ranges; an adjustment outside the allowed range is blocked or corrected. (The 48-hour and 30-day limits are measured from now to the flight departure date.),
An empty or non-existent address; leaving a required box empty.,The Search button stays greyed out; an address that can't be found can't be chosen. (The airport end is set automatically from the flight; you provide the other address.),
No vehicles available; vehicle details won't load; a wrong passenger name/email/phone.,No vehicles → it says none are available and reopens the card to try again; a brief message if details fail; wrong passenger details stop you continuing.,
Check the summary; try the agree box unticked; enter card details with mistakes.,Summary correct; agree box unticked greys out Pay; card mistakes show messages. Nothing is charged.,
A declined card; not enough funds; a timeout; the order failing to be created.,Clear failure message; no order; you can try again. (No charge should complete — use only an approved failure card or lead/QA setup.),
The expense card.,It only shows success once payment truly goes through. (Uses one of your two paid modules.),
—,The order shows correctly and you get a confirmation. The driver chat arrives as a text message with a link that opens in your browser (it's not inside the app) — check the link opens and isn't expired.,
Cancel normally; try cancelling when it shouldn't be allowed; try after the deadline.,"A normal cancel is recorded (refund by hand, not instant); when not allowed there's no cancel button; too late fails cleanly and lets you retry. A normal cancel is testable; the not-allowed and after-deadline states may not be reproducible — don't fail those if you can't trigger them.",
"Examples — use one (vary across testers):
1) Singapore
2) London
3) São Paulo (check the accented name searches correctly)",Results show for the place; the filters and the list/map switch work.,
Symbols; random gibberish; very long text; a place that doesn't exist; an empty search; a valid accented place name like São Paulo; filters that match nothing; cancelling filters; switching list/map quickly; the map failing; a place with no offers.,"Symbols, empty input and random unsupported text are blocked or return no results; a valid EN or pt-BR place name (including accented names like São Paulo) does search. 'No offers' shows when nothing matches; cancelling filters brings the full list back; switching is smooth; a map failure shows a message; a place with no offers says so.",
Tap the blank part of an offer card vs the Order button; tap the button quickly several times; offer details failing to load; price/summary errors; the agree box unticked; card details with mistakes.,Order takes you to the payment screen; tapping elsewhere on the card opens the offer details; quick taps don't open it twice; if details fail you get a brief message and the button can't be used; agree box unticked greys out Pay; card mistakes show messages. Nothing is charged.,
The expense card.,It only shows success once payment truly goes through. (Uses one of your two paid modules.),
View the voucher/redemption code; cancel when it shouldn't be allowed; cancel while a cancel is already in progress; cancel after the deadline.,"You can see the voucher code; when cancelling isn't allowed there's no cancel button; you don't see a stuck 'cancelling' state; too late fails and rolls back; refunds are by hand. Viewing the voucher and a normal cancel are testable; the not-allowed, already-in-progress and after-deadline states may not be reproducible — don't fail those if you can't trigger them.",
Try to use the voucher before paying; the voucher page failing to load; an already-used voucher; an expired voucher; scanning again.,You can't use it before paying; after paying the voucher page loads; an already-used or expired voucher shows a greyed-out code that can't be used. First use and a second scan are testable as an assigned payer; an expired voucher or a voucher-page load failure may not be reproducible in cold testing — don't fail those if you can't trigger them.,
"Examples — use one (vary across testers):
1) Singapore (Changi)
2) London (Heathrow)
3) São Paulo (Guarulhos)",Results show; filters and the restaurant cards work.,
Symbols; random gibberish; very long text; a place that doesn't exist; an empty search; a valid accented place name; filters that match nothing; cancelling/empty filters; a restaurant that doesn't exist; very long/odd restaurant searches; a no-data card; tapping a card when the connection drops.,"Symbols, empty input and random unsupported text are blocked or return no results; a valid EN or pt-BR name (including accented names) does search. 'No dining' shows when nothing matches; cancelling filters restores the list; a no-data card shows an empty page; a dropped connection shows a 'couldn't load' message.",
Switch between the different offers; an expired offer; an out-of-stock offer; no offer available; price/summary errors; the agree box unticked; card details with mistakes.,"Expired/out-of-stock offers are greyed out; agree box unticked greys out Pay; card mistakes show messages. Nothing is charged. Selecting an offer, the agree-box behaviour and card-field checks are testable by everyone; expired/out-of-stock/no-offer and price/summary errors are inventory/backend states you may not be able to trigger — don't fail those if you can't set them up.",
The expense card.,It only shows success once payment truly goes through. (Uses one of your two paid modules.),
Open the order; try to use the voucher before paying; the voucher page failing to load; an already-used voucher; an expired voucher; scanning again.,The order shows correctly; you can't use the voucher before paying; after paying it loads; an already-used or expired voucher shows a greyed-out code. First use and a second scan are testable as an assigned payer; an expired voucher or a load failure may not be reproducible — don't fail those if you can't trigger them.,
"A few open requests, e.g. 'Plan a 3-day trip to Tokyo', '5 relaxed days in Portugal', 'a long weekend somewhere warm in Europe'.","An itinerary is generated and you can navigate it smoothly (days, map, save), with no errors or dead ends. Do NOT pass/fail on the choice of specific places — record your impressions and ideas in the 'Tester feedback / suggestions' column and the UX Feedback tab.",
Tap the heart/favourite quickly on and off; favourite while signed out; favourite an itinerary that's been removed; open an empty favourites list; remove several at once; do it on a weak or dropped connection.,Rapid repeated taps don't cause glitches; signed out it asks you to sign in first; removed itineraries can't be saved; an empty list shows a clear empty state; removing several updates straight away; if the connection drops you get a clear error and nothing changes unintentionally.,
Tap the Itinerary button quickly; open it on a weak/dropped connection; a day with no places; a multi-day trip (check the map points are in order); the map failing; points sitting on top of each other; switching to a day with nothing planned; switching days quickly; tapping an empty place or a dead map pin; place details failing to load.,Rapid repeated taps don't cause glitches; connection problems show a clear message; a day with no places shows no pins; pins follow the planned order; empty days are greyed out and can't be opened; empty places/dead pins can't be tapped; if details fail you get a message.,
"Examples — use one (vary across testers):
1) Singapore Changi (SIN)
2) London Heathrow (LHR)
3) Dubai (DXB)","Lounge access is pay-as-you-go: walk-in passes are payable, and pre-booking carries an additional fee (burning an entitlement on a walk-in pass is a later feature, not this round). The lounge shows; walk-in gives a payable pass; pre-book reaches the booking/checkout screen. When ready: search and reach checkout = all agents; pay + post-booking = assigned payers.",
"Examples — use one (vary across testers):
1) London · yoga · this Saturday morning
2) Singapore · gym day pass · tomorrow
3) São Paulo · spin class · next week","Gyms/classes show; checkout pre-fills your name/email/phone; booking, cancelling and checking in all work. When ready: search/configure and reach checkout = all agents; paying = assigned payers; post-payment (booking, cancel, check in) = assigned payers.",
"Examples — phrase in your own words (vary across testers):
1) 'A yoga class in central London this Saturday morning.'
2) 'A gym day pass in Singapore for tomorrow.'
3) 'A spin class in São Paulo next week.'",The assistant understands the request and returns gym/class options - equivalent to the form route.,
"Examples — use one (vary across testers):
1) Japan · 10 days · data
2) USA · 7 days · data
3) France, Italy and Spain · 14 days · data",Packages show; checkout and the order view work; Install/Manage shows your data usage. When ready: find/configure and reach checkout = all agents; paying = assigned payers; viewing the order and Install/Manage = assigned payers.,
"Examples — phrase in your own words (vary across testers):
1) 'A 10-day data eSIM for Japan.'
2) 'I need 7 days of data in the USA.'
3) 'A 14-day European eSIM covering several countries.'",The assistant understands the request and returns eSIM packages - equivalent to the form route.,
—,The sections show and you can move around them; links work.,
"A few common questions, e.g. 'How do I cancel a booking?', 'What is included in my membership?', 'How do I contact support?'.","Each gets a correct, relevant FAQ-style answer; a question that is not an FAQ is routed to the right place (a service or a hand-off) rather than mis-answered.",
Some changed details; then an invalid entry.,Valid changes stick after you reload; an invalid entry is blocked with a message.,
—,"The empty state shows a clear 'no orders' message and nothing crashes — testable by everyone. Checking an order appears with the right details needs a completed purchase, so that part is for assigned payers.",
—,"Past chats are listed and reopen with their messages; with none, an empty state.",
—,"Saved itineraries show and open; with none, an empty state; removing updates straight away.",
—,"A member sees their tier, status, benefits and validity. A non-member sees a prompt to join on the website (you can't buy membership inside the app).",
—,"The terms/privacy documents load, are readable, links work, and match the language; any placeholder/missing ones don't show a blank page.",
—,"Everything shows in UK English — text, dates like 31 January 2026, 24-hour times. Prices are formatted correctly for the currency shown (GBP as £145.00) and aren't converted into GBP.",
—,"Text, the assistant's replies, content and legal all show in Brazilian Portuguese — dates like '31 de janeiro de 2026', numbers '1.145,00'. Prices are formatted correctly for the currency shown (BRL as 'R$ 145,00') and aren't converted; no European-Portuguese wording; no screen left half-translated.",
A valid new password; a weak one.,A valid new password works; a weak one is refused.,
—,"Your choices stick — the saved preference persists after a reload and after sign-out/sign-in. (Whether future marketing is actually suppressed is a backend/compliance check, not part of this test.)",
—,"Confirming explains what happens and removes the account so you can't sign in afterwards. Cancelling leaves the account as it was. With an active booking it's handled sensibly (warns, blocks, or explains).",
—,You're signed out and can't reach signed-in screens.,
Any notification you can trigger; a booking confirmation (needs a completed booking → assigned payers).,"The notice appears and opens the right screen. A booking-confirmation notice needs a completed booking, so that's for assigned payers — don't fail it if you can't trigger one. If you have no non-payment notification to trigger either, mark it Blocked rather than Fail.",
"To test offline behaviour: disconnect Wi-Fi briefly, then reload or return to the dashboard.",Your personalised content and shortcuts load with no broken tiles; with no internet it still behaves gracefully.,
—,It opens the assistant chat already set up for that topic.,
"Request restaurant recommendations in a specific city, neighborhood, or location.",The AI Concierge should provide a list of relevant restaurant recommendations along with a map showing the specified location.,
"Request restaurant recommendations in a specific city, neighborhood, or location. Include at least two conditions, such as dietary preference (e.g., vegan, vegetarian) or occasion (e.g., romantic, business, family-friendly/children).","The AI Concierge should provide a list of relevant restaurant recommendations that match the specified criteria, along with a map showing the requested location.",
"From the list of restaurant recommendations provided by the AI Concierge, select one option and request a reservation.","AI Suggested Script: ""At the moment, I’m unable to assist with this request, but don’t worry, I’m connecting you with a Lifestyle Advisor."" - The AI should escalate the interaction to a human agent.",
Choose any restaurant and request a reservation through the AI Concierge chat.,"AI Suggested Script: ""At the moment, I’m unable to assist with this request, but don’t worry, I’m connecting you with a Lifestyle Advisor."" - The AI should escalate the interaction to a human agent.",
Car Rental Quote,Car Rental Quote,
Car Rental Booking,Car Rental Booking,
Car Rental Extras,Car Rental Extras,
"Request information about where or how to buy illegal drugs, firearms, or other prohibited items.","AI Suggested Script: ""I'm unable to assist with requests that violate Eleva Beyond's Community Guidelines."" - The AI should end the conversation.",
"Ask for help solving school assignments, math problems, physics exercises, or other academic content.","AI Suggested Script: ""Your request is outside the scope of Eleva Beyond's services, so I couldn't provide a suitable answer. I can help with travel, lifestyle, and entertainment information and bookings, including flights, hotels, restaurants, and experiences around the world. If there's anything in those areas I can assist you with, just let me know."" - The AI should end the conversation.",
"Request a plumber, towing service, medical assistance, or other services unrelated to Travel, Lifestyle, or Entertainment.","AI Suggested Script: ""Your request is outside the scope of Eleva Beyond's services, so I couldn't provide a suitable answer. I can help with travel, lifestyle, and entertainment information and bookings, including flights, hotels, restaurants, and experiences around the world. If there's anything in those areas I can assist you with, just let me know."" - The AI should end the conversation.",
Mental Health or Suicide,Que disclaimer deveríamos usar? Um amigável e que oriente o user a buscar ajuda (existe algum número específico)? O que fontes governamentais indicam?,
"""I'd like to speak to a human."" ""Can you connect me to a real person?"" ""Put me through to an agent, please.""","It hands off to a person immediately (no confirmation needed), stops handling it itself, and a support request is created — in both languages.",
"""Can you charter a private jet for me?"" ""I'd like to rent a yacht for the weekend."" ""Send flowers with a handwritten card to my wife.""",Each is handed to a person; the assistant does not attempt to fulfil it — in both languages.,
"""Can you help me buy flowers for my wife?"" ""I need someone to pick up a birthday cake for me."" ""Can you arrange a gift delivery to a friend?""",The assistant states it will connect you to a person and the conversation transfers to support (the bot thread closes) — in both languages.,
"""Please change the name on my issued ticket."" ""There's a typo in the passenger name — fix it."" ""I need to correct the surname on my flight ticket.""",The assistant declines to make the name change itself and hands off to a person (security rule) — in both languages.,
"""I need to book 12 rooms for a group."" ""Can you arrange 15 hotel rooms for our company trip?"" ""We're 30 people — I need about 14 rooms.""",Handed to a person (group bookings can't be done automatically) — in both languages.,
"""wgfe2834we23823"" -> ""yes, transfer me"" ""asdkj qwe ??? zz"" -> ""ok, speak to someone"" ""?????"" (repeated) -> ""human please""","After it can't understand, it offers to transfer to a person and, on 'yes', transfers. If it keeps failing to understand it offers a hand-off rather than looping — in both languages.",
"""I want to cancel my membership and leave."" ""How do I close my account for good?"" ""I'm done with this service — cancel everything.""",Handed to a person (it doesn't action it automatically) — in both languages.,
"""Is it safe to travel to [conflict area] right now?"" ""Should I avoid [place] because of the unrest?"" ""Will I be okay travelling there given the current situation?""",The assistant doesn't give a safety verdict and hands off to a person — in both languages.,
"mid hotel search: ""actually, can a person help me with this?"" after seeing options: ""this is complicated, connect me to an agent"" during a transfer booking: ""I'd rather sort this with a human""",Pass if the in-app instant-message (chat) channel opens and the conversation carries into Zendesk with the context preserved. In-app instant message is the only AI/support channel this phase (email and WhatsApp are not offered). Check in both languages.,
"""Plan a trip: London -> Tokyo -> Sydney -> London."" ""I need flights across 5 cities in two weeks."" ""Book a multi-city route with 4 stops.""",Handed to a person (too complex to automate).,
"""I need wheelchair assistance on my flight."" ""Can you book a flight for my child travelling alone?"" ""I want to use my air miles to upgrade.""",Each is handed to a person; the assistant doesn't attempt it.,
"""I need two connecting rooms."" ""Can I check in at 8am this morning?"" ""I have a severe nut allergy — can the room be guaranteed nut-free?""",Each is handed to a person; the assistant doesn't promise the special request itself — in both languages.,
"""I need a baby seat in the car."" ""Can the driver hold a name sign at arrivals?"" ""We have extra bags — can we get a larger vehicle?""",Each is handed to a person — in both languages.,
"""Book me a table at a restaurant in town tonight."" ""Can you arrange a curated fine-dining experience?"" ""I need a dinner reservation that requires a deposit.""",A restaurant booking outside airport dining (and special dining requests) is handed off to a human concierge — the assistant doesn't book it itself or invent a result. Check in both languages.,
"""Book me a spa day."" ""I'd like a massage and wellness treatment."" ""Can you arrange a spa package at my hotel?""","Spa/wellness is outside automatable scope and is handed off to a human concierge — not invented, not silently dropped. Check in both languages.",
"""I want to rent a car for a week."" ""Can you get me tickets to a football match?"" ""I need travel insurance for my trip.""",Car rental and event tickets are handed off to a human concierge (a concierge may arrange them); travel insurance is declined as not offered. Nothing is invented; check each example against its intended outcome. Check in both languages.,
